event_id,operator,operator_normalized,sub_brand,venue_id,institution,venue_name_as_written,event_type,event_date,date_precision,first_outsourcing,contract_value_usd,contract_length_years,losing_bidders,source_publication,source_date,source_title,source_file,extraction_confidence,needs_review,notes,extras
ev_14dd6c82c54ef417,Aramark,Aramark,,,Temple University,Temple University,won,2017-05-01,month,,,,,|University Wire; Carlsbad |,2017-01-17,Keep students involved,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.9,True,No venue_id match. Board of Trustees approved the switch in October (2016). Aramark replaces Sodexo effective May 2017.,
ev_48562a06ad6d72c9,Sodexo,Sodexo,,,Temple University,Temple University,lost,2017-05-01,month,,,,,|University Wire; Carlsbad |,2017-01-17,Keep students involved,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.9,True,No venue_id match. Sodexo is the incumbent being replaced by Aramark effective May 2017. Board of Trustees approved the switch in October 2016.,
ev_7540d3607e1095f3,Aramark,Aramark,,,Temple University,Temple,won,2016-10-01,month,,,15,,|University Wire; Carlsbad |,2016-12-29,Top 10 News Topics of 2016,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,"Article says 'the following month' (October) Temple announced Aramark would take over with a 15-year contract. No specific venue named—this is university-wide food service (dining), not a specific stadium/arena contract. No candidate venue matches university dining. Venue ID left null.","{""context"": ""University-wide dining/food service contract, replacing Sodexo after 28 years"", ""incumbent"": ""Sodexo""}"
ev_7984a6913c9c631d,Sodexo,Sodexo,,,Temple University,Temple,lost,2016-10-01,month,,,,,|University Wire; Carlsbad |,2016-12-29,Top 10 News Topics of 2016,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,Sodexo had been with Temple for 28 years and was replaced by Aramark. No specific venue named—university-wide dining. Venue ID left null as no candidate venue matches.,"{""tenure_years"": 28, ""context"": ""University-wide dining/food service contract""}"
ev_c045149db3a8ed89,Aramark,Aramark,,,Georgetown University,Leo O'Donovan dining hall,renewed,2017-01-01,year,,,,,|University Wire; Carlsbad |,2016-12-12,Leo’s set to undergo renovations,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.8,True,"Article describes a new contract between Georgetown and Aramark, their current dining services provider. This is a university dining hall, not one of the candidate venues (RFK Stadium or D.C. Armory). Changes scheduled to be fully in place by start of 2017-2018 academic year. Venue is campus dining, not a stadium/arena.","{""note"": ""University campus dining, not a stadium/arena venue. Several other dining service providers were explored but Georgetown stayed with Aramark under a new contract.""}"
ev_837d0b24b8c555f1,Aramark,Aramark,,,Georgetown University,Leo O'Donovan dining hall,renewed,,approx,,,,,|University Wire; Carlsbad |,2016-12-12,Leo’s set to undergo renovations,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.75,True,"Article describes a new contract between Georgetown University and Aramark, its current dining services provider, for renovations of Leo O'Donovan dining hall and Hoya Court. No candidate venue matches a Georgetown University dining hall. The contract is described as decided ('it was decided that the renovations will occur under a new contract'). Changes scheduled to be fully in place by start of 2017-2018 academic year. Since Aramark is described as the current provider getting a new contract, this is treated as a renewal.","{""initiative_details"": ""Renovations to dining halls, new retail dining options, revised buffet-style format, improved vegan/vegetarian options, dietary restriction accommodations"", ""just_employment_policy"": true}"
ev_c31a24d22eb0cda2,Aramark Food Services,Aramark Food Services,,,Florida State University,FSU,expired,2018-07-01,month,,,,,"|Tallahassee Democrat; Tallahassee, Fla. |",2016-12-12,FSU debates dining contract with Aramark,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,Article states the Aramark contract 'will expire in July 2018'. No candidate venue matched. Aramark has held the contract since 2003. The article describes an ongoing search/evaluation process for a successor but no award has been made.,"{""contract_start_year"": 2003, ""open_forums_planned"": ""January 2017"", ""voting_committee_size"": 5, ""student_voters"": 1, ""student_technical_advisors"": 3}"
ev_d8f59974003adf6e,Aramark,Aramark,,,Temple University,Temple University,won,,approx,,,,,|University Wire; Carlsbad |,2016-12-06,Sugary drink tax could affect future meal plans,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.6,True,"Article says Aramark is 'soon to be the university's food service provider,' implying the contract has been awarded but service has not yet started. No venue in candidate list. No specific start date given; article is from Dec 2016 and references 2017-18 academic year planning. The phrasing suggests a decided award rather than a pending decision, but timing is uncertain.",
ev_e6ffa84cb1155276,ARA Services,Aramark,,,Clemson University,Clemson,won,1969-01-01,year,,,,,|Food Management; Cleveland |,2016-12-01,Clemson gets fresh new facility,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,"Article states 'Aramark has managed foodservice at Clemson since 1969, when it was ARA Services.' This is a campus-wide dining contract, not a stadium concession contract. No candidate venue matches the Clemson campus dining facilities. The nearby Memorial Stadium (wd-Q543579) is mentioned but only as a geographic reference, not as the venue under contract. Venue ID set to null because the contract is for campus dining, not the stadium.","{""context"": ""Campus dining contract, not stadium concessions. Fresh Food Company dining hall opened as part of Core Campus project.""}"
ev_84ef7e515261dada,Aramark,Aramark,Fresh Food Company,,Clemson University,Clemson,initiative,2016-01-01,approx,,,,,|Food Management; Cleveland |,2016-12-01,Clemson gets fresh new facility,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.8,True,"Opening of Fresh Food Company dining hall as part of $96M Core Campus project. Broke ground in 2014; article published Dec 2016 describing facility as operational. Exact opening date not stated. No venue ID match — this is a campus dining facility, not a stadium.","{""project_name"": ""Core Campus"", ""project_cost_usd"": 96000000, ""facility_sqft"": 260000, ""dining_sqft"": 78000, ""seating_capacity"": 900, ""branded_restaurants"": [""Raising Cane's"", ""Which Wich"", ""Twisted Taco"", ""Starbucks""], ""replaces"": ""Harcombe Dining Hall""}"
ev_2e613f83a9ed12fe,Aramark,Aramark,,,Vassar College,the Deece,lost,2017-01-01,approx,,,,,|University Wire; Carlsbad |,2016-11-30,VFR tracks a dinner’s food waste,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,"Article says 'In the fall of 2017 Vassar is switching food service providers from Aramark to Bon Appétit.' This is presented as a decided transition per an April 5 school-wide email from the Dean, not a pending decision. No candidate venue matches Vassar College / the Deece / ACDC. Date is 'fall of 2017' so approximate.","{""meal_plan_change"": ""switching from all-you-can-eat swipe system to all-access blanket fee plan""}"
ev_9f03a8a9bbee074c,Bon Appétit,Compass,Bon Appétit,,Vassar College,the Deece,won,2017-01-01,approx,,,,,|University Wire; Carlsbad |,2016-11-30,VFR tracks a dinner’s food waste,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,"Article says 'In the fall of 2017 Vassar is switching food service providers from Aramark to Bon Appétit,' per a Dean's email announcing the decision. No candidate venue matches Vassar College. Date is 'fall of 2017' so approximate.","{""meal_plan_change"": ""switching from all-you-can-eat swipe system to all-access blanket fee plan""}"
ev_4605d693ee6f70b1,Aramark,Aramark,,wd-Q603034,Drexel University,Drexel University,won,,approx,,,,,|Fair Disclosure Wire; Linthicum |,2016-11-15,Q4 2016 Aramark Earnings Call - Final,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.82,True,"Eric Foss states 'we've recently signed two leading universities, Drexel University and Temple University'. No specific date given; described as recent. Likely an education/dining contract. Date needs review.",
ev_556e2b87ec155c0b,Aramark,Aramark,,wd-Q7929512,,US Bank Stadium,won,2016-01-01,year,,,,,|Fair Disclosure Wire; Linthicum |,2016-11-15,Q4 2016 Aramark Earnings Call - Final,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,False,"Eric Foss states 'We opened the new US Bank Stadium, home of the Minnesota Vikings' in context of NFL season and serving fans at 11 stadiums. US Bank Stadium opened in 2016. This indicates Aramark operates concessions there.","{""num_nfl_stadiums_served"": 11}"
ev_151d52e651c23ef4,Aramark,Aramark,,wd-Q603034,Drexel University,Drexel University,won,2016-01-01,approx,,,,,|Fair Disclosure Wire; Linthicum |,2016-11-15,Event Brief of Q4 2016 Aramark Earnings Call - Final,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.8,True,"Aramark CEO states they 'recently signed two leading universities, Drexel University and Temple University' in Philadelphia. No exact date given; described as recent during FY16 earnings call (FY16 ended ~Oct 2016). Date is approximate.",
ev_6577b229781263b6,Aramark,Aramark,,,Temple University,Temple University,won,2016-01-01,approx,,,,,|Fair Disclosure Wire; Linthicum |,2016-11-15,Event Brief of Q4 2016 Aramark Earnings Call - Final,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.8,True,Aramark CEO states they 'recently signed' Temple University. No candidate venue matches. No exact date; described as recent during FY16 earnings call.,
ev_afcf646fb820ea39,Aramark,Aramark,,wd-Q7929512,,US Bank Stadium,won,2016-01-01,year,,,,,|Fair Disclosure Wire; Linthicum |,2016-11-15,Event Brief of Q4 2016 Aramark Earnings Call - Final,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,False,"Aramark CEO states they 'Opened new US Bank Stadium, home of Minnesota Vikings' as part of their NFL season. This confirms Aramark holds the concessions contract at the new stadium which opened in 2016.",
ev_4491deab17382d16,Sodexo,Sodexo,,,Brandeis University,Brandeis,won,2013-01-01,year,,,,,|University Wire; Carlsbad |,2016-11-14,BLC petitions for better treatment of Sodexo workers,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.75,True,"Article states 'Sodexo took over from Aramark in 2013'. No candidate venue matched; venue_id null. This is a university dining contract, not a stadium/arena.",
ev_c77ab15efced105c,Aramark,Aramark,,,Brandeis University,Brandeis,lost,2013-01-01,year,,,,,|University Wire; Carlsbad |,2016-11-14,BLC petitions for better treatment of Sodexo workers,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.75,True,"Article states 'Sodexo took over from Aramark in 2013'. No candidate venue matched; venue_id null. This is a university dining contract, not a stadium/arena.",
ev_d9e12110a28d4aa5,Aramark,Aramark,,,Scranton School District,Neil Armstrong Elementary,violation,2016-11-07,exact,,,,,"|The Times - Tribune; Scranton, Pa. |",2016-11-10,Scranton Schools To Investigate Health Concerns; Board Hires Principals,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.75,True,"Aramark served moldy bagels to four students on Monday (Nov 7). No candidate venue matches Neil Armstrong Elementary. This is a school, not a stadium/arena/convention center, so may be out of scope for the venue spine. The article also confirms Aramark is the district's food service company but reports no contract award, renewal, or other contract event.",
ev_f6b78a138640f421,Aramark,Aramark,,,Scranton School District,Neil Armstrong Elementary,violation,2016-11-07,exact,,,,,|TCA Regional News; Chicago |,2016-11-10,Scranton schools to investigate health concerns; board hires principals,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.75,True,"Article reports Aramark served moldy bagels to four students at Neil Armstrong Elementary on Monday (2016-11-07). This is a food safety violation at a school, not a stadium/arena/convention center venue. No matching venue in candidate list. Venue is an elementary school, outside the typical scope of stadium/arena tracking.","{""incident_detail"": ""moldy bagels served to four students; one student consumed the bagel""}"
ev_3e9dcb397dbe5cb5,Aramark,Aramark,,,,the university,renewed,2016-11-01,month,,,10,"[""Sodexo""]",|MENA Report; Camden |,2016-11-09,United States : Aramark to remain universitys dining contractor under extended deal,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.75,True,"Article refers to 'the university' without naming it explicitly. Source title says 'universitys dining contractor' but doesn't name the university. References to Leo's, O'Donovan Hall, and COO Christopher Augostini suggest Georgetown University, but this is not stated in the body text. No candidate venue matches. The announcement was made via email on a Tuesday; source_date is 2016-11-09 which is a Wednesday, so the announcement was likely Nov 8. Yearlong bid process between Aramark and Sodexo ended with Aramark retaining the contract for 10 more years.","{""likely_institution"": ""Georgetown University"", ""food_court_conversion"": ""O'Donovan Hall first floor and Leo's top floor"", ""named_retail_providers"": [""District Donuts""]}"
ev_e84274ac3f11ecd3,Aramark,Aramark,,,Georgetown University,Leo's,won,2016-11-01,exact,,,10,"[""Sodexo""]",|University Wire; Carlsbad |,2016-11-08,Aramark Workers Left Out of Dining Contract Negotiations,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,"No venue_id match. Aramark selected as Georgetown University's dining contractor for 10 years, announced Nov. 1. Venue is Georgetown University dining (Leo's / O'Donovan Hall). Article mentions renovation of O'Donovan Hall. Sodexo was the other finalist but it's unclear if Sodexo was the incumbent or just a competing bidder—article does not explicitly name the incumbent operator being replaced.","{""renovation"": ""O'Donovan Hall upper level converted to food court with eight dining offerings"", ""worker_protections"": ""All dining workers keep jobs under Just Employment Policy"", ""union_notes"": ""Workers reached contract agreement April 2015 including unionization plan, 40-hour paid work week, cheaper health insurance""}"
ev_f587c1b0c7582dbc,Aramark,Aramark,,,University of Toronto,University of Toronto,lost,2016-01-01,month,,,,,|Maclean's; Toronto |,2016-11-07,A great campus food makeover,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.9,True,"No matching venue_id — University of Toronto St. George campus is a Canadian university, not in our venue list. Article states in January 2016 U of T announced it would not renew its contract with Aramark, which had operated for over 10 years. Aramark's contract was not renewed (lost to self-operation).","{""previous_contract_duration"": ""over 10 years"", ""campus"": ""St. George""}"
ev_3d844a0a15b3ac55,University of Toronto,University of Toronto,,,University of Toronto,University of Toronto,self_op,2016-01-01,month,,,,,|Maclean's; Toronto |,2016-11-07,A great campus food makeover,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.9,True,"No matching venue_id — University of Toronto St. George campus is a Canadian university. Article states U of T announced in January 2016 it would provide food services independently across the entire St. George campus, replacing Aramark. Self-operation only applies to St. George campus; Scarborough and Mississauga campuses remain with third-party service.","{""campus"": ""St. George"", ""daily_meals_retail"": 8000, ""daily_meals_residence"": 6000, ""students_served"": 85000}"
ev_716d2f043253c1d4,Aramark,Aramark,,,Georgetown University,Georgetown,renewed,2016-11-01,month,,,10,"[""Sodexo""]",|University Wire; Carlsbad |,2016-11-04,University Renews Aramark Contract,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.92,True,"No candidate venue matches Georgetown University dining facilities (Leo's, Hoya Court, O'Donovan Hall). These are university dining locations, not stadiums/arenas. Article says Aramark renewed as dining contractor for 10 years after a yearlong bid process where Sodexo was the other finalist. Exact announcement date appears to be early November 2016 (campuswide email Tuesday before the Nov 4 article).","{""renovations_planned"": ""Leo's first floor converted to food court, Hoya Court reimagined"", ""named_incumbent"": ""Aramark (renewal)""}"
ev_6f1ae27c0718d04f,Aramark,Aramark,,,Georgetown University,Georgetown University,renewed,2016-11-01,month,,,10,"[""Sodexo""]",|University Wire; Carlsbad |,2016-11-04,"Khan, Fisk Reassess Priorities",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.9,True,"Article says the university announced Tuesday (Nov 1, 2016) that Aramark will continue as dining contractor for 10 years following a long bid process. No candidate venue matches Georgetown University dining; Yates Field House is mentioned but only in context of campus plan reconstruction, not as the dining venue. Setting venue_id to null.","{""renovation_details"": ""Renovation of O'Donovan Hall to include food court for meal exchanges on top floor and healthier buffet option on bottom floor, expanded meal exchange options, new meal plans"", ""named_competitor"": ""Sodexo""}"
ev_5655db073e1031e4,Aramark,Aramark,,wd-Q603034,Drexel University,Drexel University,won,2016-11-01,approx,,,,,"|Philadelphia Daily News; Philadelphia, Pa. |",2016-11-03,Local rankings,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.9,False,"Article says 'This week, Aramark took over the Drexel dining program.' Article published 2016-11-03, so 'this week' is approximately early November 2016. Date set to Nov 1 as approximate.",
ev_0e17dc4174d54b02,Aramark,Aramark,,wd-Q7929512,Minnesota Vikings,U.S. Bank Stadium,won,2016-01-01,year,,,,,"|Star Tribune; Minneapolis, Minn. |",2016-11-03,skol!: Critic Rick Nelson picks the good catches and the fumbles of the food at U.S. Bank Stadium.,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,False,Article states Aramark 'won the contract to run the all-important catering operations at the new home of the Minnesota Vikings.' U.S. Bank Stadium opened in 2016. No specific contract date given; using 2016 as the year the stadium opened and the contract began.,"{""local_chef_partners"": [""Andrew Zimmern"", ""Gavin Kaysen"", ""Thomas Boemer""], ""local_vendors"": [""Revival"", ""AZ Canteen Rotisserie"", ""AZ Canteen Hoagies"", ""Prairie Dogs"", ""Kramarczuk's"", ""Ike's"", ""R Taco"", ""Caribou Coffee"", ""Twin City Foodies""]}"
ev_2f99897144dd3225,Aramark,Aramark,,,James Madison University,JMU Dining Services,won,2000-01-01,year,,,35,,|University Wire; Carlsbad |,2016-11-03,Animal-rights organization urges Aramark to improve chicken welfare,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,"Article states 'JMU's contract with Aramark began in 2000 and is good up until June 30, 2035.' No candidate venue matched. Contract length calculated as 35 years (2000 to 2035). This is a dining services contract at James Madison University.","{""contract_end_date"": ""2035-06-30""}"
ev_0d78ee36e0ac1ed1,Aramark,Aramark,,wd-Q7929512,,U.S. Bank Stadium,won,,approx,,,,,|TCA Regional News; Chicago |,2016-11-03,"Best and worst foods at U.S. Bank Stadium, ranked by our food critic",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.9,True,Article states Aramark 'won the contract to run the all-important catering operations' at U.S. Bank Stadium. No specific date given for when the contract was awarded; the stadium opened in 2016. No contract term or value stated.,
ev_90e55ec5b3e27f06,Aramark,Aramark,,,James Madison University,JMU Dining Services,won,2000-01-01,year,,,35,,|University Wire; Carlsbad |,2016-11-02,Student-led organization urges Aramark to improve animal welfare,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,"No venue_id match. Article states: 'JMU's contract with Aramark began in 2000 and is good up until June 30, 2035.' Contract runs from 2000 to June 30, 2035 = 35 years. The contract start year is stated but not the exact start date.","{""contract_end_date"": ""2035-06-30""}"
ev_1d9b218f0ccdcaa8,Aramark,Aramark,,wd-Q7929512,Minnesota Sports Facilities Authority,U.S. Bank Stadium,violation,,approx,,,,,"|Star Tribune; Minneapolis, Minn. |",2016-11-02,"Aramark got behind on paying stadium vendors: A clerical error was the cause of the delays, an Aramark spokesman said.",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.85,True,Article reports Aramark failed to pay local/minority-owned food vendor partners for ~3 months after building opened. Categorized as a contract violation (payment failure to subcontracted vendors). Exact date unclear; payments began being made late October 2016 per article context. Aramark confirmed as concessionaire at the venue but no contract award event is reported here.,"{""violation_type"": ""late payment to subcontracted vendors"", ""authority_chair"": ""Michele Kelm-Helgen"", ""named_vendors"": [""Prairie Dogs"", ""Revival""], ""nfl_stadiums_operated"": 17}"
ev_a4f21430519ab961,Aramark,Aramark,,wd-Q7929512,Minnesota Sports Facilities Authority,U.S. Bank Stadium,violation,,approx,,,,,|TCA Regional News; Chicago |,2016-11-02,Aramark says local partners at U.S. Bank Stadium being paid -- three months later,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.82,True,"Aramark failed to pay local minority-owned/small vendor partners for three months after the stadium opened. Described as a 'clerical' error. Not a health or wage violation in the traditional sense, but a contract/payment violation against subcontractor vendors. Reviewing whether this qualifies as a contract violation event.","{""violation_type"": ""late payment to subcontractor vendors"", ""subcontractors_named"": [""Prairie Dogs"", ""Revival""], ""mwbe_program"": true}"
ev_9f9a1c4748b3765e,Aramark,Aramark,,wd-Q603034,Drexel University,Drexel University,won,2016-12-11,exact,,,,,"|Philadelphia Inquirer; Philadelphia, Pa. |",2016-11-01,BriefCase,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.95,False,Aramark selected as new dining-services provider effective Dec. 11. Article also mentions Aramark recently won a contract to replace Sodexo at Temple University (separate event).,
ev_a7cc8b521b277db2,SodexoMagic,Sodexo,sodexomagic,wd-Q603034,Drexel University,Drexel University,lost,2016-12-11,exact,,,,,"|Philadelphia Inquirer; Philadelphia, Pa. |",2016-11-01,BriefCase,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.93,False,SodexoMagic LLC described as joint venture of Magic Johnson Enterprises and Sodexo. Drexel issued termination letter in September; SodexoMagic filed federal lawsuit alleging misrepresentation. Replaced by Aramark effective Dec. 11.,
ev_34e141aaae716a04,Aramark,Aramark,,,Temple University,Temple University,won,,approx,,,,,"|Philadelphia Inquirer; Philadelphia, Pa. |",2016-11-01,BriefCase,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.75,True,Article says Aramark 'recently won a contract to replace Sodexo at Temple University.' No venue_id match in candidate list. No specific date given; described as recent.,
ev_7beff567a0cffbea,Sodexo,Sodexo,,,Temple University,Temple University,lost,,approx,,,,,"|Philadelphia Inquirer; Philadelphia, Pa. |",2016-11-01,BriefCase,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.75,True,Article states Aramark won contract 'to replace Sodexo at Temple University.' No venue_id match in candidate list. No specific date given.,
ev_1576b0f6277181e2,Aramark,Aramark,,wd-Q603034,Drexel University,Drexel University,won,2016-12-11,exact,,,,,|TCA Regional News; Chicago |,2016-10-31,BRIEF: Aramark picks up Drexel dining services contract,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,0.95,False,"Effective Dec. 11, 2016. Aramark selected as new dining-services provider after Drexel terminated SodexoMagic.",
