venue_name,venue_type,city,state,lat,lng,operator,start_date,start_precision,end_date,end_precision,end_status,exit_mode,source,notes,extras,tenure_id,venue_id,operator_normalized,derived_from,known_through,render_end_year,render_end_basis,end_inferred_from,needs_review,review_reasons
Cotton Correctional Facility,other,,,,,Trinity Food Services,2015-09-01,month,,,unknown,,"|Lansing State Journal (1980-); Lansing, Michigan | 2016-09-07; |Detroit Free Press; Detroit, Mich. | 2016-09-07; |Lansing State Journal; Lansing, Mich. | 2016-09-07",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-09-01"", ""event_count"": 2}",sp-7e1ed4c8b1,,Trinity Food Services,ev_a74ebb5cdd71aa57 ev_5b17059ccc583b50 ev_a36bf206a66e4483 ev_c29721371ec3ee5d,2016-09-01,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
David Ross Sports Village,other,,,,,Sodexo,2016-11-01,month,,,unknown,,|Nottingham Evening Post; Nottingham (UK) | 2016-11-08,,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-11-01"", ""event_count"": 1}",sp-53ceb594d2,,Sodexo,ev_6b08126afa853bbc,2016-11-01,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
El Paso County Criminal Justice Center,other,,,,,Aramark Correctional Services LLC,,,2016-08-31,exact,ended,lost_bid,|Colorado Springs Independent; Colorado Springs | 2017-02-07,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-08-31"", ""event_count"": 1}",sp-423dc621d5,,Aramark Correctional Services LLC,ev_081648386db6d225,2016-08-31,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
El Paso County Criminal Justice Center,other,,,,,Trinity Services Group,2016-09-01,month,,,unknown,,|Colorado Springs Independent; Colorado Springs | 2017-02-07,,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-09-01"", ""event_count"": 1}",sp-11146b558f,,Trinity Services Group,ev_8c55b6dc2f6bc177,2016-09-01,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
El Paso County jail,other,,,,,Aramark Correctional Services,2016-11-22,approx,,,unknown,,"|El Paso Times (1921-); El Paso, Texas | 2016-11-22",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-11-22"", ""event_count"": 1}",sp-ccc7becec3,,Aramark Correctional Services,ev_59473e631b20be42,2016-11-22,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
FGCU,other,,,,,Aramark,,,,,unknown,,"|The News Press; Fort Myers, Fla. | 2016-08-17; |Fort Myers News-Press (1931-); Fort Myers, Florida | 2016-08-17",,"{""needs_review"": true, ""review_reasons"": [""2 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 2}",sp-4b8ea03742,,Aramark,ev_1ce7bd4d51695bb7 ev_1fd54b0ad22e696b,,,evidence stops here; the end is unknown,,True,2 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
FGCU,other,,,,,Compass,,,,,unknown,,"|The News Press; Fort Myers, Fla. | 2016-08-17; |Fort Myers News-Press (1931-); Fort Myers, Florida | 2016-08-17",,"{""needs_review"": true, ""review_reasons"": [""2 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 2, ""sub_brands"": [""Chartwells""]}",sp-0f3163fcef,,Compass,ev_ba3582e42d4248f2 ev_75dc376256868b77,,,evidence stops here; the end is unknown,,True,2 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
FSU,other,,,,,Aramark Food Services,,,2018-07-01,month,ended,other,"|Tallahassee Democrat; Tallahassee, Fla. | 2016-12-12",contract expired; no cause reported,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2018-07-01"", ""event_count"": 1}",sp-bc45b6dc9c,,Aramark Food Services,ev_c31a24d22eb0cda2,2018-07-01,2018,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Georgetown,other,,,,,Aramark,,,,,unknown,,|University Wire; Carlsbad | 2016-11-04,,"{""needs_review"": true, ""review_reasons"": [""renewal with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-11-01"", ""event_count"": 1}",sp-4dec4c4ff7,,Aramark,ev_716d2f043253c1d4,2016-11-01,2016,evidence stops here; the end is unknown,,True,renewal with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Georgetown University,other,,,,,Aramark,,,,,unknown,,|University Wire; Carlsbad | 2016-11-04,,"{""needs_review"": true, ""review_reasons"": [""renewal with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-11-01"", ""event_count"": 1}",sp-8a22a8f700,,Aramark,ev_6f1ae27c0718d04f,2016-11-01,2016,evidence stops here; the end is unknown,,True,renewal with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Harvard,other,,,,,Harvard University Dining Services,,,,,unknown,,|University Wire; Carlsbad | 2016-10-26,,"{""needs_review"": true, ""review_reasons"": [""presence only (strike) \u2014 operator was here, but no award was reported"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-10-01"", ""event_count"": 1}",sp-15f0ba88cc,,Harvard University Dining Services,ev_f25f370c0ad0be83,2016-10-01,2016,evidence stops here; the end is unknown,,True,"presence only (strike) — operator was here, but no award was reported; start_date unknown; venue never matched the spine — not mappable"
Huron Lodge,other,,,,,Aramark,,,,,unknown,,"|Windsor Star (1959-); Windsor, Ontario | 2017-01-18",,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1}",sp-9d2c03dd3b,,Aramark,ev_87fdec05e74e1af7,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
ICA,other,,,,,Sodexo,,,,,unknown,,|London Evening Standard (2011-2018); London (UK) | 2016-10-19,,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1}",sp-9a51aea640,,Sodexo,ev_8d6f334a3ff5a29b,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
Ionia Correctional Facility,other,,,,,Trinity Food Services,,,,,unknown,,"|Lansing State Journal; Lansing, Mich. | 2016-09-07",,"{""needs_review"": true, ""review_reasons"": [""presence only (violation) \u2014 operator was here, but no award was reported"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-05-01"", ""event_count"": 1}",sp-608ca00da2,,Trinity Food Services,ev_f8fc477c2be54fd8,2016-05-01,2016,evidence stops here; the end is unknown,,True,"presence only (violation) — operator was here, but no award was reported; start_date unknown; venue never matched the spine — not mappable"
JMU Dining Services,other,,,,,Aramark,2000-01-01,year,,,unknown,,|University Wire; Carlsbad | 2016-11-03; |University Wire; Carlsbad | 2016-11-02,,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2000-01-01"", ""event_count"": 1}",sp-352ca57ab4,,Aramark,ev_2f99897144dd3225 ev_90e55ec5b3e27f06,2000-01-01,2000,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
Lafayette General Health,other,,,,,Aramark,,,2016-12-12,exact,ended,self_op_conversion,"|The Daily Advertiser; Lafayette, La. | 2016-10-11",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-12-12"", ""event_count"": 1}",sp-162fa874a2,,Aramark,ev_1a353a09bbc49880 ev_c04c572b01cf2d49,2016-12-12,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Lafayette General Medical Center,other,,,,,Aramark Healthcare Services,,,2016-12-12,exact,ended,lost_bid,"|The Daily Advertiser; Lafayette, La. | 2016-10-15",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-12-12"", ""overlaps_with"": [""Lafayette General Medical Center""], ""event_count"": 1}",sp-6683442c97,,Aramark Healthcare Services,ev_972e3d50f5b5c142,2016-12-12,2016,reported end,,True,"run ends with no award ever reported — start unknown; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Lafayette General Medical Center,other,,,,,Lafayette General Medical Center,,,2016-12-12,exact,ended,self_op_conversion,"|The Daily Advertiser; Lafayette, La. | 2016-10-15",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-12-12"", ""overlaps_with"": [""Aramark Healthcare Services""], ""event_count"": 1}",sp-abdeccb848,,Lafayette General Medical Center,ev_359cdd6828afe3ce,2016-12-12,2016,reported end,,True,"run ends with no award ever reported — start unknown; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Lafayette Medical Center,other,,,,,Aramark Healthcare Services,,,2016-12-12,exact,ended,other,"|US Fed News Service, Including US State News; Washington, D.C. | 2016-10-15",contract expired; no cause reported,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-12-12"", ""event_count"": 1}",sp-7ab5699f8b,,Aramark Healthcare Services,ev_419a3fbf2ca42545,2016-12-12,2016,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Leo O'Donovan dining hall,other,,,,,Aramark,,,,,unknown,,|University Wire; Carlsbad | 2016-12-12,,"{""needs_review"": true, ""review_reasons"": [""renewal with no award ever reported \u2014 start unknown"", ""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2017-01-01"", ""event_count"": 2}",sp-b42e58d358,,Aramark,ev_c045149db3a8ed89 ev_837d0b24b8c555f1,2017-01-01,2017,evidence stops here; the end is unknown,,True,renewal with no award ever reported — start unknown; 1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
Leo's,other,,,,,Aramark,2016-11-01,exact,,,unknown,,|University Wire; Carlsbad | 2016-11-08,,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-11-01"", ""event_count"": 1}",sp-c6fac648f1,,Aramark,ev_e84274ac3f11ecd3,2016-11-01,2016,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
Mayo Clinic,other,,,,,Compass,,,,,unknown,,"|Post - Bulletin; Rochester, Minn. | 2016-08-31; |Post - Bulletin; Rochester, Minn. | 2016-08-20",,"{""needs_review"": true, ""review_reasons"": [""3 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 3, ""sub_brands"": [""Morrison Healthcare""]}",sp-7a2a8b0198,,Compass,ev_56c9d453881a20b6 ev_794d41d516f56041 ev_dd4b22dc7230a57a,,,evidence stops here; the end is unknown,,True,3 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
Mayo Clinic,other,,,,,Sodexo,,,,,unknown,,"|Post - Bulletin; Rochester, Minn. | 2016-08-31; |Post - Bulletin; Rochester, Minn. | 2016-08-20",,"{""needs_review"": true, ""review_reasons"": [""3 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 3}",sp-7e50ce51b9,,Sodexo,ev_2b58fac4742e2720 ev_338471573249b08c ev_c2304a899c3b08f2,,,evidence stops here; the end is unknown,,True,3 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
MDOC facilities,other,,,,,Aramark,,,2015-01-01,year,ended,lost_bid,|The Tennessean (1972-); Nashville | 2016-08-08,,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-01-01"", ""event_count"": 1}",sp-9c6565cd36,,Aramark,ev_a3d71eba3519a8d3,2015-01-01,2015,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Michigan,other,,,,,Aramark Correctional Services,,,,,unknown,,"|Kennebec Journal; Augusta, Me. | 2016-10-25; |Morning Sentinel; Waterville, Me. | 2016-10-25",,"{""needs_review"": true, ""review_reasons"": [""2 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 2}",sp-77c80aed1b,,Aramark Correctional Services,ev_0846e9280e833e5a ev_a2fe2aa2e307ca2c,,,evidence stops here; the end is unknown,,True,2 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
Michigan Department of Corrections,other,,,,,Aramark,,,2015-01-01,year,ended,other,"|The Daily News Journal; Murfreesboro, Tenn. | 2016-08-08",contract expired; no cause reported,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-01-01"", ""overlaps_with"": [""Aramark Correctional Services""], ""event_count"": 1}",sp-f2a4e6e182,,Aramark,ev_e0f052ff96215591,2015-01-01,2015,reported end,,True,"run ends with no award ever reported — start unknown; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Michigan Department of Corrections,other,,,,,Aramark,,,2015-01-01,year,ended,lost_bid,"|The Tennessean; Nashville, Tenn. | 2016-08-08; |News Sentinel; Knoxville, Tenn. | 2016-08-05",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-01-01"", ""overlaps_with"": [""Aramark Correctional Services""], ""event_count"": 1}",sp-81701bee59,,Aramark,ev_2bc9eb9a44038b70 ev_8919c20ab2a949d0,2015-01-01,2015,reported end,,True,"run ends with no award ever reported — start unknown; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Michigan Department of Corrections,other,,,,,Aramark Correctional Services,,,2015-09-01,month,ended,other,|Crain's Detroit Business; Detroit | 2017-01-30,contract expired; no cause reported,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""overlaps another operator at this venue (prime vs sub-contract, or a bad pairing)"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-09-01"", ""overlaps_with"": [""Aramark""], ""event_count"": 1, ""sub_brands"": [""Aramark Correctional Services""]}",sp-3d1fe964b9,,Aramark Correctional Services,ev_703d633fc8161141,2015-09-01,2015,reported end,,True,"run ends with no award ever reported — start unknown; start_date unknown; overlaps another operator at this venue (prime vs sub-contract, or a bad pairing); venue never matched the spine — not mappable"
Michigan Department of Corrections,other,,,,,Trinity Services Group,2015-09-01,month,,,unknown,,|Crain's Detroit Business; Detroit | 2017-01-30,,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-09-01"", ""event_count"": 2}",sp-a94ad7a317,,Trinity Services Group,ev_381cdc07c31d6d85 ev_cd58e0f13974709c,2015-09-01,2015,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; venue never matched the spine — not mappable
Michigan prison food service,other,,,,,Aramark Correctional Services,,,2015-09-01,month,ended,lost_bid,"|Detroit Free Press; Detroit, Mich. | 2016-09-07",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-09-01"", ""event_count"": 1}",sp-ffe32747aa,,Aramark Correctional Services,ev_eb1bea5b8402c598,2015-09-01,2015,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Michigan prison food service,other,,,,,Trinity Food Services,2015-09-01,month,,,unknown,,"|Detroit Free Press; Detroit, Mich. | 2016-09-07",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-09-01"", ""event_count"": 1}",sp-5b799f6940,,Trinity Food Services,ev_4203f9045b98efed,2015-09-01,2015,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
Michigan prisons,other,,,,,Aramark Correctional Services,,,2015-08-01,month,ended,lost_bid,"|Livingston County Daily Press & Argus; Howell, Mich. | 2016-09-09",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-08-01"", ""event_count"": 1}",sp-eb8b843d8f,,Aramark Correctional Services,ev_fdbd67926c4df7ee,2015-08-01,2015,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Michigan prisons,other,,,,,Trinity Services Group,2015-08-01,month,,,unknown,,"|Livingston County Daily Press & Argus; Howell, Mich. | 2016-09-09",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-08-01"", ""event_count"": 1}",sp-bb4bdba725,,Trinity Services Group,ev_22702e580d9e9660,2015-08-01,2015,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
Michigan state prisons,other,,,,,Aramark Correctional Services,2013-12-01,month,2015-08-01,month,ended,lost_bid,"|Detroit Free Press (1923-), General edition; Detroit | 2016-09-09",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-08-01"", ""event_count"": 2}",sp-00c0c179e1,,Aramark Correctional Services,ev_eb9906d9c9b65c65 ev_a0035b7360e519ef,2015-08-01,2015,reported end,,True,venue never matched the spine — not mappable
Michigan state prisons,other,,,,,Trinity Services Group,2015-08-01,month,,,unknown,,"|Detroit Free Press (1923-), General edition; Detroit | 2016-09-09",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-08-01"", ""event_count"": 1}",sp-801a05dfb4,,Trinity Services Group,ev_27e0d3480585c6b5,2015-08-01,2015,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
Michigan's prison,other,,,,,Aramark Correctional Services,,,2015-09-01,month,ended,lost_bid,"|Lansing State Journal (1980-); Lansing, Michigan | 2017-01-21",,"{""needs_review"": true, ""review_reasons"": [""run ends with no award ever reported \u2014 start unknown"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-09-01"", ""event_count"": 1}",sp-1f323bcd34,,Aramark Correctional Services,ev_b38f5fae6dcbe24f,2015-09-01,2015,reported end,,True,run ends with no award ever reported — start unknown; start_date unknown; venue never matched the spine — not mappable
Michigan's prison,other,,,,,Trinity Services Group,2015-09-01,month,,,unknown,,"|Lansing State Journal (1980-); Lansing, Michigan | 2017-01-21",,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2015-09-01"", ""event_count"": 2}",sp-db221d4749,,Trinity Services Group,ev_241afad96bdaedbb ev_26ec472cd908b475,2015-09-01,2015,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; venue never matched the spine — not mappable
MPEC,other,,,,,Spectra,2016-10-01,approx,,,unknown,,"|Times Record News (1987-); Wichita Falls, Texas | 2016-12-28; |Times Record News (1987-); Wichita Falls, Texas | 2016-11-06",,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2016-10-01"", ""event_count"": 2, ""sub_brands"": [""Spectra Food Services""]}",sp-834dc44505,,Spectra,ev_1d9ef998874af608 ev_ae8e657b29a88f4e,2016-10-01,2016,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; venue never matched the spine — not mappable
MPEC,other,,,,,city of Wichita Falls,,,,,unknown,,"|Times Record News (1987-); Wichita Falls, Texas | 2016-11-06",,"{""needs_review"": true, ""review_reasons"": [""1 undated event(s) could not be placed on the timeline"", ""start_date unknown"", ""venue never matched the spine \u2014 not mappable""], ""known_through"": null, ""event_count"": 1}",sp-2bc706d5d0,,city of Wichita Falls,ev_dfc814aa919b8b54,,,evidence stops here; the end is unknown,,True,1 undated event(s) could not be placed on the timeline; start_date unknown; venue never matched the spine — not mappable
NCH,other,,,,,Sodexo,2012-01-01,year,,,unknown,,"|The Naples Daily News (1970-); Naples, Florida | 2016-08-27",,"{""needs_review"": true, ""review_reasons"": [""venue never matched the spine \u2014 not mappable""], ""known_through"": ""2012-01-01"", ""event_count"": 1}",sp-11c3a2283f,,Sodexo,ev_b5d80f3dba8630c0,2012-01-01,2012,evidence stops here; the end is unknown,,True,venue never matched the spine — not mappable
